Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.29 16:44:31:177,8.43574,-1.58096,1.59570,73.55316,-0.28512,2.32888,64.85825,1.28606,0.44938,0.25917,0.00978,0.28380,
06.29 16:44:31:212,7.08416,-1.49300,1.51345,72.19018,-0.17950,2.25002,64.85825,1.28606,0.44938,0.24776,0.02744,0.28719,
06.29 16:44:31:246,5.82023,-1.40282,1.39751,70.53344,-0.06887,2.10107,64.85825,1.28606,0.44938,-0.14504,0.04789,0.25418,
06.29 16:44:31:273,4.25763,-1.40470,1.24262,69.38565,-0.08616,2.00521,64.85825,1.28606,0.44938,0.26977,0.03248,0.31321,
06.29 16:44:31:312,3.19899,-1.44557,1.17574,68.32374,-0.11817,1.95334,64.85825,1.28606,0.44938,0.26649,0.04134,0.32822,
06.29 16:44:31:345,2.23559,-1.44381,1.10364,67.05077,-0.10192,1.86723,64.85825,1.28606,0.44938,-0.04308,0.05582,0.31421,
06.29 16:44:31:379,1.02294,-1.41658,1.03019,66.14951,-0.06599,1.83470,64.85825,1.28606,0.44938,0.26831,0.06452,0.35513,
06.29 16:44:31:407,0.17453,-1.39640,1.01753,65.29229,-0.04229,1.83692,64.85825,1.28606,0.44938,0.25951,0.06804,0.37002,
06.29 16:44:31:444,-0.39340,-1.41168,1.00730,64.22810,-0.10573,1.82757,64.85825,1.28606,0.44938,-0.23675,0.01989,0.37089,
06.29 16:44:31:480,-1.40841,-1.55004,0.97501,63.51244,-0.26193,1.80892,64.85825,1.28606,0.44938,0.06260,0.00205,0.38453,
06.29 16:44:31:514,-2.05357,-1.76598,0.93666,62.89588,-0.50264,1.77827,64.85825,1.28606,0.44938,0.09119,-0.02272,0.39223,
06.29 16:44:31:561,-2.75876,-2.11682,0.86021,62.24076,-0.85872,1.70908,64.85825,1.28606,0.44938,0.14127,-0.02796,0.39949,
06.29 16:44:31:596,-3.39687,-2.48896,0.77893,61.73460,-1.12950,1.65792,64.85825,1.28606,0.44938,0.27321,0.07340,0.42961,
06.29 16:44:31:627,-3.76103,-2.54004,0.75515,61.37443,-1.15855,1.64054,64.85825,1.28606,0.44938,0.27721,0.09543,0.43602,
06.29 16:44:31:661,-3.90731,-2.49469,0.75507,61.22596,-1.11102,1.64207,64.85825,1.28606,0.44938,0.27502,0.09760,0.43762,
06.29 16:44:31:694,-3.93697,-2.48485,0.74878,61.20303,-1.10793,1.63790,64.85825,1.28606,0.44938,0.28174,0.09085,0.43974,
06.29 16:44:31:724,-3.85151,-2.55532,0.76006,61.35204,-1.22930,1.66595,64.85825,1.28606,0.44938,0.34530,0.03996,0.45651,
06.29 16:44:31:760,-3.56338,-2.78466,0.80159,61.58273,-1.43018,1.69933,64.85825,1.28606,0.44938,0.28786,0.06841,0.44836,
06.29 16:44:31:794,-3.24725,-3.01253,0.82213,61.89930,-1.65910,1.72137,64.85825,1.28606,0.44938,0.28830,0.06736,0.44986,
06.29 16:44:31:826,-2.99057,-3.16810,0.84127,62.39870,-1.96545,1.75928,64.85825,1.28606,0.44938,0.53101,-0.08342,0.46863,
06.29 16:44:31:867,-2.31008,-3.53157,0.88244,62.83490,-2.18662,1.78671,64.85825,1.28606,0.44938,0.28672,0.05888,0.45490,
06.29 16:44:31:896,-1.81065,-3.72538,0.92005,63.52634,-2.44190,1.83188,64.85825,1.28606,0.44938,0.47874,-0.00258,0.46245,
06.29 16:44:31:929,-1.00303,-3.92650,0.93197,64.14982,-2.58327,1.82512,64.85825,1.28606,0.44938,0.29459,0.05717,0.44378,
06.29 16:44:31:957,-0.29018,-4.03797,0.89660,64.87213,-2.69572,1.78392,64.85825,1.28606,0.44938,0.30405,0.05618,0.43794,
06.29 16:44:31:990,0.26925,-4.10919,0.88033,65.69393,-2.79097,1.76465,64.85825,1.28606,0.44938,0.56643,0.03215,0.43494,
06.29 16:44:32:024,1.47919,-4.14361,0.91322,66.94702,-2.79078,1.81130,64.85825,1.28606,0.44938,0.60958,0.06677,0.44870,
06.29 16:44:32:061,2.47275,-4.10339,0.97363,67.96397,-2.74875,1.86268,64.85825,1.28606,0.44938,0.63297,0.06857,0.43967,
06.29 16:44:32:107,3.87140,-3.97648,1.05429,69.35916,-2.60095,1.93193,64.85825,1.28606,0.44938,0.62950,0.08946,0.42826,
06.29 16:44:32:139,5.61144,-3.83134,1.16108,70.78251,-2.51271,2.00057,64.85825,1.28606,0.44938,0.31281,0.03257,0.39011,
